id;account_type;account_broker;account_login;account_password;account_active;account_close_date
1;DEMO;ALPARI;whiteboard Lebanese Pound cross-platform;Credit Card Account open-source Re-engineered;true;2020-11-11
2;DEMO;PEPPERSTONE;transmit;program;false;2020-11-11
3;REAL;FXPRO;Kiribati brand;Optional;false;2020-11-10
4;REAL;FXPRO;Syrian Arab Republic Clothing;compressing Designer;false;2020-11-10
5;DEMO;THINKMARKETS;Investor;Division parsing driver;true;2020-11-10
6;DEMO;THINKMARKETS;bleeding-edge Orchestrator;Credit Card Account Baby;true;2020-11-11
7;DEMO;ALPARI;Brand Architect indigo;Usability Soap;false;2020-11-10
8;REAL;PEPPERSTONE;Cotton Frozen Soft;auxiliary;false;2020-11-11
9;DEMO;ALPARI;Massachusetts Cape Verde Escudo;intangible;true;2020-11-11
10;REAL;FXPRO;Rustic Concrete Computer Alaska;RSS Automotive Future;false;2020-11-11
